S. No.,Observation Date,Water Level (In M),Live Capacity (In M.cum)
131,18-06-2020,394.97,3906.34
132,17-06-2020,394.96,3904.94
133,19-04-2020,395.74,4271.42
134,02-03-2020,397.08,4957.12
135,06-01-2020,399.38,6301.67
136,30-12-2019,399.54,6396.57
137,28-12-2019,399.55,6400.22
138,27-12-2019,399.55,6402.05
139,26-12-2019,399.55,6403.87
140,24-12-2019,399.56,6407.52
141,23-12-2019,399.57,6413
142,19-12-2019,399.57,6416.65
144,17-12-2019,399.58,6420.3
145,16-12-2019,399.58,6422.13
146,12-12-2019,399.59,6429.41
148,10-12-2019,399.6,6433.04
149,07-12-2019,399.61,6438.49
150,06-12-2019,399.61,6438.49
151,05-12-2019,399.62,6442.12
152,04-12-2019,399.62,6443.94
153,02-12-2019,399.62,6447.57
154,29-11-2019,399.63,6453.02
155,28-11-2019,399.64,6454.84
156,14-11-2019,399.65,6465.73
157,07-11-2019,399.8,6554.74
158,31-10-2019,399.85,6583.8
159,21-10-2019,399.87,6596.51
160,11-10-2019,399.8,6552.92
161,10-10-2019,399.87,6591.06
162,09-10-2019,399.81,6556.55
163,08-10-2019,399.73,6511.14
164,07-10-2019,399.67,6473
166,06-10-2019,399.69,6485.71
168,05-10-2019,399.65,6462.1
169,04-10-2019,399.58,6418.48
171,03-10-2019,399.48,6360.07
172,02-10-2019,399.45,6341.82
173,01-10-2019,399.46,6347.3
174,30-09-2019,399.31,6259.69
177,29-09-2019,399.26,6226.89
179,28-09-2019,399.26,6226.89
180,27-09-2019,399.32,6263.34
181,26-09-2019,399.37,6292.54
182,25-09-2019,399.31,6257.87
183,24-09-2019,399.3,6250.57
184,23-09-2019,399.28,6243.27
185,22-09-2019,399.23,6214.15
186,21-09-2019,399.28,6243.27
187,20-09-2019,399.33,6268.82
188,19-09-2019,399.38,6303.49
189,18-09-2019,399.37,6292.54
190,17-09-2019,399.86,6585.61
191,16-09-2019,400.86,6585.61
192,15-09-2019,401.99,6585.61
193,14-09-2019,399.58,6418.48
194,13-09-2019,399.59,6425.78
195,12-09-2019,399.72,6502.06
196,10-09-2019,399.56,6407.52
197,09-09-2019,399.71,6496.61
198,08-09-2019,399.6,6433.04
199,07-09-2019,399.58,6422.13
200,06-09-2019,399.64,6454.84
201,05-09-2019,399.51,6378.32
203,04-09-2019,399.4,6310.8
204,03-09-2019,399.38,6299.84
205,02-09-2019,399.44,6340
206,01-09-2019,399.44,6334.52
207,31-08-2019,399.32,6263.34
208,30-08-2019,399.26,6230.53
209,29-08-2019,399.26,6230.53
213,28-08-2019,399.56,6411.17
214,27-08-2019,399.37,6298.02
215,26-08-2019,398.88,6002.98
216,25-08-2019,398.56,5814.39
217,24-08-2019,398.49,5769.47
218,23-08-2019,398.34,5683.64
219,22-08-2019,398.22,5611.8
221,21-08-2019,398.07,5525.95
224,20-08-2019,398.04,5508.38
225,19-08-2019,397.92,5439.83
226,18-08-2019,397.73,5334.36
227,17-08-2019,397.57,5239.43
228,16-08-2019,396.92,4871.04
229,15-08-2019,394.14,3528.87
231,14-08-2019,392.81,2976.39
232,13-08-2019,392.6,2890.29
233,11-08-2019,392.33,2786.88
234,10-08-2019,391.58,2517.91
235,09-08-2019,389.68,1888.39
236,08-08-2019,388.7,1604.47
237,07-08-2019,387.63,1310.19
239,06-08-2019,387.28,1220.92
240,05-08-2019,386.74,1084.13
242,04-08-2019,386.56,1037.79
244,03-08-2019,386.51,1024.44
247,02-08-2019,386.42,1002.85
248,01-08-2019,386.25,964.82
249,31-07-2019,386.14,940.63
250,30-07-2019,385.89,882.55
251,29-07-2019,385.85,874.96
252,28-07-2019,385.34,757.64
253,27-07-2019,384.56,597.99
255,26-07-2019,384.55,596.85
256,25-07-2019,384.55,596.85
257,24-07-2019,384.55,596.85
258,23-07-2019,384.55,596.28
259,22-07-2019,384.54,594.57
260,21-07-2019,384.53,592.87
261,19-07-2019,384.52,591.16
262,18-07-2019,384.51,590.02
263,17-07-2019,384.5,587.17
264,16-07-2019,384.5,587.17
265,15-07-2019,384.49,585.46
266,14-07-2019,384.48,584.32
267,13-07-2019,384.48,583.18
268,12-07-2019,384.44,576.34
270,10-07-2019,384.37,562.66
271,09-07-2019,384.27,545.04
272,08-07-2019,384.19,529.71
275,07-07-2019,382.45,215.08
276,06-07-2019,381.95,130.33
278,05-07-2019,381.31,41.99
280,04-07-2019,380.62,
281,03-07-2019,380.58,
283,02-07-2019,380.58,
286,01-07-2019,380.57,
288,29-06-2019,380.54,
290,28-06-2019,380.5,
293,27-06-2019,380.43,
295,26-06-2019,380.34,
296,25-06-2019,380.26,
297,24-06-2019,380.26,
298,23-06-2019,380.26,
300,22-06-2019,380.27,
301,21-06-2019,380.28,
302,20-06-2019,380.28,
304,19-06-2019,380.29,
308,18-06-2019,380.29,
311,17-06-2019,380.34,
314,16-06-2019,380.34,
315,15-06-2019,380.61,
318,14-06-2019,380.61,
324,13-06-2019,380.61,
332,07-06-2019,380.66,
333,02-06-2019,380.69,
334,01-06-2019,380.86,
335,31-05-2019,380.95,
336,29-05-2019,380.96,
337,28-05-2019,380.96,
338,27-05-2019,380.97,
339,26-05-2019,380.98,
340,25-05-2019,380.98,
341,24-05-2019,380.99,
342,22-05-2019,381,1.23
343,21-05-2019,381.01,1.64
344,20-05-2019,381.01,2.47
345,18-05-2019,381.03,4.11
346,17-05-2019,381.03,4.94
347,16-05-2019,381.04,5.76
348,15-05-2019,381.04,6.58
349,14-05-2019,381.05,7.41
350,13-05-2019,381.06,8.23
351,12-05-2019,381.06,9.05
352,11-05-2019,381.07,9.88
353,22-04-2019,381.22,30.46
354,18-04-2019,381.23,31.28
357,15-04-2019,381.26,35.4
358,12-04-2019,381.26,36.23
360,30-03-2019,381.32,44.47
362,28-03-2019,381.33,44.88
364,26-03-2019,381.33,45.71
368,22-03-2019,381.72,98.16
369,21-03-2019,381.85,116.34
370,19-03-2019,382.13,160.1
371,18-03-2019,383.91,476.96
374,27-02-2019,384.36,562.09
375,26-02-2019,384.48,583.18
376,25-02-2019,384.58,603.12
377,24-02-2019,384.69,623.07
378,12-02-2019,385.84,871.51
379,06-02-2019,386.48,1016.68
380,01-02-2019,386.94,1133.53
381,30-01-2019,387.11,1178.14
382,29-01-2019,387.2,1201.48
383,28-01-2019,387.3,1224.81
386,24-01-2019,387.65,1316.39
387,22-01-2019,387.83,1360.88
388,21-01-2019,388.01,1408
389,17-01-2019,388.25,1476.68
390,16-01-2019,388.32,1495.81
392,15-01-2019,388.4,1519.28
394,09-01-2019,388.86,1648.81
395,08-01-2019,388.9,1662.72
396,07-01-2019,388.96,1679.2
398,05-01-2019,389.1,1718.19
400,03-01-2019,389.27,1766.07
401,02-01-2019,389.34,1788.12
402,01-01-2019,389.49,1830.45
403,28-12-2018,389.69,1893.23
405,27-12-2018,389.76,1914.52
406,26-12-2018,389.83,1935.82
408,18-12-2018,390.36,2105.23
409,05-12-2018,391.2,2379.79
410,04-12-2018,391.56,2510.23
411,20-11-2018,392.09,2701.91
412,13-11-2018,392.45,2832.46
414,12-11-2018,392.48,2842.71
416,06-11-2018,392.56,2873.47
417,27-10-2018,392.65,2911.5
418,26-10-2018,392.65,2911.5
420,24-10-2018,392.65,2911.5
421,23-10-2018,392.65,2911.5
422,22-10-2018,392.65,2911.5
423,21-10-2018,392.65,2911.5
424,20-10-2018,392.65,2911.5
425,19-10-2018,392.65,2911.5
426,18-10-2018,392.65,2911.5
427,17-10-2018,392.65,2911.5
428,16-10-2018,392.65,2911.5
429,15-10-2018,392.65,2911.5
430,14-10-2018,392.65,2911.5
431,11-10-2018,392.65,2911.5
432,10-10-2018,392.65,2911.5
433,09-10-2018,392.65,2911.5
434,08-10-2018,392.65,2911.5
435,06-10-2018,392.65,2911.5
436,05-10-2018,392.65,2911.5
437,04-10-2018,392.65,2911.5
439,03-10-2018,392.65,2911.5
440,02-10-2018,392.65,2911.5
441,01-10-2018,392.65,2911.5
443,30-09-2018,392.65,2911.5
444,29-09-2018,392.64,2907.76
445,28-09-2018,392.63,2901.52
446,27-09-2018,392.62,2896.53
447,26-09-2018,392.58,2880.31
448,25-09-2018,392.47,2841.57
449,24-09-2018,392.35,2797.13
451,23-09-2018,391.68,2552.98
452,22-09-2018,391.65,2543.12
453,21-09-2018,391.65,2543.12
455,20-09-2018,391.64,2540.93
457,19-09-2018,391.64,2538.73
461,18-09-2018,391.62,2533.25
466,17-09-2018,391.61,2527.77
468,16-09-2018,391.59,2522.29
469,15-09-2018,391.58,2516.81
471,14-09-2018,391.57,2512.43
472,13-09-2018,391.55,2506.94
473,12-09-2018,391.53,2501.46
475,11-09-2018,391.52,2495.98
476,10-09-2018,391.48,2482.83
478,09-09-2018,391.43,2465.29
487,06-09-2018,391.04,2324.3
488,05-09-2018,391.03,2321.31
489,04-09-2018,391.03,2319.32
490,03-09-2018,391.01,2315.35
491,02-09-2018,391,2310.37
492,01-09-2018,390.94,2292.47
494,31-08-2018,390.87,2268.61
495,30-08-2018,390.83,2256.67
496,29-08-2018,390.68,2206.63
497,28-08-2018,390.64,2195.05
498,27-08-2018,390.61,2183.47
499,26-08-2018,390.57,2171.9
501,25-08-2018,390.53,2160.32
503,24-08-2018,390.5,2151.63
505,23-08-2018,390.19,2051.99
507,22-08-2018,389.09,1714.73
509,21-08-2018,388.73,1614.04
510,20-08-2018,388.65,1590.56
511,19-08-2018,388.63,1585.35
512,18-08-2018,388.57,1567.96
513,17-08-2018,388.57,1567.09
514,16-08-2018,388.57,1567.09
515,15-08-2018,388.57,1567.09
521,14-08-2018,388.57,1567.09
522,13-08-2018,388.57,1567.09
524,12-08-2018,388.57,1566.22
527,11-08-2018,388.55,1562.75
528,10-08-2018,388.48,1541.88
529,09-08-2018,388.44,1531.45
532,08-08-2018,388.44,1528.84
533,07-08-2018,388.44,1531.45
535,06-08-2018,388.44,1528.84
536,05-08-2018,388.44,1528.84
537,04-08-2018,388.44,1531.45
540,03-08-2018,388.44,1531.45
542,02-08-2018,388.44,1531.45
543,01-08-2018,388.44,1528.84
544,31-07-2018,388.43,1527.1
546,30-07-2018,388.42,1524.49
548,29-07-2018,388.41,1521.02
549,28-07-2018,388.39,1516.67
550,27-07-2018,388.38,1512.32
551,26-07-2018,388.35,1505.37
552,25-07-2018,388.3,1491.46
553,24-07-2018,388.27,1481.89
554,23-07-2018,388.17,1452.34
555,22-07-2018,388.13,1441.9
556,21-07-2018,388.12,1438.42
557,20-07-2018,388.08,1426.25
558,19-07-2018,387.98,1399.22
559,18-07-2018,387.94,1389.83
560,17-07-2018,387.83,1361.66
561,16-07-2018,387.73,1335.84
562,15-07-2018,387.49,1273.74
565,14-07-2018,387.49,1273.74
573,13-07-2018,387.19,1199.14
574,12-07-2018,386.84,1110.5
576,10-07-2018,386.84,1110.5
577,09-07-2018,386.84,1110.5
578,08-07-2018,386.84,1110.5
579,07-07-2018,386.84,1110.5
580,06-07-2018,386.84,1110.5
581,05-07-2018,386.84,1110.5
582,04-07-2018,386.84,1110.5
584,03-07-2018,386.85,1111.27
585,02-07-2018,386.84,1110.5
587,01-07-2018,386.84,1110.5
588,30-06-2018,386.84,1109.73
590,29-06-2018,386.84,1109.73
591,28-06-2018,386.85,1111.27
592,26-06-2018,386.86,1114.34
593,24-06-2018,386.87,1117.41
594,23-06-2018,386.88,1118.94
595,22-06-2018,386.88,1120.48
596,21-06-2018,386.89,1122.02
597,20-06-2018,386.9,1123.55
598,19-06-2018,386.9,1125.09
599,14-06-2018,386.93,1132.77
600,07-06-2018,386.98,1143.52
601,05-06-2018,386.99,1146.59
602,04-06-2018,386.99,1148.12
603,03-06-2018,387,1149.66
606,01-06-2018,387.01,1152.73
608,31-05-2018,387.02,1154.27
609,30-05-2018,387.02,1155.8
610,29-05-2018,387.04,1158.87
611,21-05-2018,387.08,1169.62
612,20-05-2018,387.08,1171.16
613,19-05-2018,387.09,1172.69
614,18-05-2018,387.1,1174.25
615,15-05-2018,387.12,1178.92
616,12-05-2018,387.13,1183.58
617,10-05-2018,387.15,1186.7
618,09-05-2018,387.15,1188.25
619,07-05-2018,387.17,1192.92
620,03-05-2018,387.19,1197.59
621,29-04-2018,387.21,1203.81
622,28-04-2018,387.22,1205.36
623,27-04-2018,387.23,1206.92
624,21-04-2018,387.26,1216.25
625,20-04-2018,387.27,1217.81
626,19-04-2018,387.27,1219.37
627,18-04-2018,387.28,1220.92
628,17-04-2018,387.29,1222.48
629,16-04-2018,387.29,1224.03
630,15-04-2018,387.3,1225.59
631,14-04-2018,387.3,1227.14
632,13-04-2018,387.31,1228.7
633,11-04-2018,387.32,1231.81
634,10-04-2018,387.33,1233.37
636,09-04-2018,387.34,1236.48
637,07-04-2018,387.35,1238.03
638,06-04-2018,387.35,1239.59
639,05-04-2018,387.36,1241.15
640,04-04-2018,387.37,1242.7
641,01-04-2018,387.42,1257.46
642,29-03-2018,387.44,1260.56
643,28-03-2018,387.55,1290.03
644,26-03-2018,387.65,1314.84
645,25-03-2018,387.75,1339.76
646,24-03-2018,387.84,1364.01
647,22-03-2018,388.03,1412.34
648,21-03-2018,388.12,1437.56
649,20-03-2018,388.2,1461.9
650,19-03-2018,388.29,1487.11
653,17-03-2018,388.46,1536.66
656,14-03-2018,388.72,1609.69
657,12-03-2018,388.89,1658.37
658,11-03-2018,388.97,1682.66
659,09-03-2018,389.15,1731.19
660,07-03-2018,389.32,1780.18
661,05-03-2018,389.49,1829.57
662,04-03-2018,389.57,1853.53
663,01-03-2018,389.79,1926.14
664,25-02-2018,390.08,2018.11
665,23-02-2018,390.23,2064.57
666,19-02-2018,390.6,2180.58
667,16-02-2018,390.74,2224.97
668,15-02-2018,390.81,2248.72
669,14-02-2018,390.88,2272.58
670,13-02-2018,390.96,2296.45
671,12-02-2018,391.02,2318.33
672,11-02-2018,391.09,2340.33
673,10-02-2018,391.15,2363.35
674,08-02-2018,391.28,2409.39
676,06-02-2018,391.47,2477.35
677,03-02-2018,391.6,2523.39
678,02-02-2018,391.66,2546.41
679,01-02-2018,391.72,2569.42
680,29-01-2018,391.92,2638.48
681,28-01-2018,391.98,2661.48
682,24-01-2018,392.23,2751.08
683,23-01-2018,392.29,2774.35
684,22-01-2018,392.36,2798.27
685,21-01-2018,392.4,2815.36
687,19-01-2018,392.53,2860.94
688,18-01-2018,392.58,2881.56
689,17-01-2018,392.64,2904.02
690,16-01-2018,392.69,2926.48
691,15-01-2018,392.75,2948.94
692,13-01-2018,392.85,2992.61
694,09-01-2018,393.07,3082.46
695,08-01-2018,393.13,3104.93
697,01-01-2018,393.51,3262.13
698,31-12-2017,393.57,3287.01
699,30-12-2017,393.72,3347.96
700,29-12-2017,393.83,3393.38
701,26-12-2017,393.99,3463.71
702,25-12-2017,394.04,3484.55
703,23-12-2017,394.14,3527.47
704,22-12-2017,394.19,3549.84
705,21-12-2017,394.24,3572.21
706,20-12-2017,394.28,3593.18
707,18-12-2017,394.38,3637.91
708,17-12-2017,394.43,3658.88
709,16-12-2017,394.47,3679.86
710,15-12-2017,394.52,3700.83
711,14-12-2017,394.56,3721.8
712,13-12-2017,394.61,3742.77
713,12-12-2017,394.65,3762.34
714,10-12-2017,394.74,3804.28
716,08-12-2017,394.83,3844.83
717,07-12-2017,394.88,3865.79
718,04-12-2017,395,3920.31
719,03-12-2017,395.02,3932.88
720,01-12-2017,395.15,3990.02
721,30-11-2017,395.27,4044.36
722,29-11-2017,395.3,4058.3
723,28-11-2017,395.33,4073.9
724,27-11-2017,395.37,4089.99
725,25-11-2017,395.43,4122.16
727,24-11-2017,395.47,4138.25
728,23-11-2017,395.51,4157.26
729,22-11-2017,395.62,4211.38
730,21-11-2017,395.72,4263.7
731,20-11-2017,395.75,4279.14
732,18-11-2017,395.81,4310.01
733,17-11-2017,395.84,4325.45
734,16-11-2017,395.91,4357.87
735,13-11-2017,396.13,4472.12
736,12-11-2017,396.15,4478.29
737,10-11-2017,396.26,4535.42
738,09-11-2017,396.3,4557.03
739,08-11-2017,396.33,4569.38
740,06-11-2017,396.37,4589.45
741,05-11-2017,396.37,4590.99
742,02-11-2017,396.38,4595.62
743,01-11-2017,396.38,4597.17
744,31-10-2017,396.38,4598.71
745,30-10-2017,396.39,4600.25
746,29-10-2017,396.39,4601.8
747,28-10-2017,396.39,4603.34
748,27-10-2017,396.41,4609.52
749,24-10-2017,396.43,4623.41
751,23-10-2017,396.44,4624.95
752,22-10-2017,396.44,4626.5
753,20-10-2017,396.47,4643.48
754,19-10-2017,396.49,4651.2
755,18-10-2017,396.51,4660.46
756,15-10-2017,396.55,4683.59
758,14-10-2017,396.58,4695.9
759,13-10-2017,396.6,4709.75
760,11-10-2017,396.64,4729.76
761,10-10-2017,396.66,4735.91
762,09-10-2017,396.66,4738.99
763,07-10-2017,396.66,4738.99
764,03-10-2017,396.66,4738.99
765,02-10-2017,396.66,4738.99
766,01-10-2017,396.66,4738.99
767,30-09-2017,396.66,4738.99
768,29-09-2017,396.66,4738.99
769,27-09-2017,396.67,4745.14
770,26-09-2017,396.67,4742.07
771,25-09-2017,396.66,4735.91
772,23-09-2017,396.63,4723.6
773,22-09-2017,396.61,4712.83
774,21-09-2017,396.59,4705.14
776,20-09-2017,396.58,4698.98
778,19-09-2017,396.5,4657.37
779,18-09-2017,396.43,4620.32
780,16-09-2017,396.18,4496.82
781,15-09-2017,396.14,4476.75
782,14-09-2017,396.13,4469.03
783,13-09-2017,396.12,4462.85
784,12-09-2017,396.08,4444.33
785,11-09-2017,396.08,4445.87
786,08-09-2017,396.09,4448.96
787,06-09-2017,396.09,4447.42
788,05-09-2017,396.07,4438.15
790,04-09-2017,396.03,4418.08
791,03-09-2017,396.03,4418.08
792,02-09-2017,396.03,4418.08
793,01-09-2017,396.02,4413.45
794,31-08-2017,395.98,4391.84
795,30-08-2017,395.87,4339.35
796,28-08-2017,395.62,4211.38
797,27-08-2017,395.55,4179.2
798,26-08-2017,395.5,4155.8
800,25-08-2017,395.44,4126.55
801,24-08-2017,395.44,4125.09
802,23-08-2017,395.43,4122.16
803,22-08-2017,395.42,4117.78
807,21-08-2017,395.42,4113.39
809,19-08-2017,395.42,4113.39
811,17-08-2017,395.41,4110.46
812,16-08-2017,395.4,4107.54
813,14-08-2017,395.39,4100.23
815,11-08-2017,395.36,4088.53
816,10-08-2017,395.36,4085.6
817,08-08-2017,395.34,4078.29
818,07-08-2017,395.34,4075.36
819,06-08-2017,395.33,4070.98
820,05-08-2017,395.32,4068.05
821,04-08-2017,395.31,4065.26
822,03-08-2017,395.31,4061.08
823,02-08-2017,395.3,4058.3
824,01-08-2017,395.29,4055.51
826,30-07-2017,395.24,4029.03
828,29-07-2017,395.01,3927.3
829,28-07-2017,394.48,3681.25
831,27-07-2017,394.45,3671.47
833,26-07-2017,394.44,3664.48
835,25-07-2017,394.42,3657.49
836,23-07-2017,394.35,3625.33
837,22-07-2017,394.3,3600.17
838,21-07-2017,394.17,3542.85
839,20-07-2017,394.17,3538.66
840,18-07-2017,394.16,3534.46
844,17-07-2017,394.16,3534.46
845,16-07-2017,394.15,3531.67
846,15-07-2017,394.09,3502.79
847,14-07-2017,394.04,3484.55
848,12-07-2017,394.12,3516.29
850,11-07-2017,394.15,3531.67
852,10-07-2017,394.18,3547.05
853,09-07-2017,394.22,3562.42
854,07-07-2017,394.28,3593.18
856,06-07-2017,394.3,3600.17
857,04-07-2017,394.29,3597.37
858,03-07-2017,394.31,3602.96
859,02-07-2017,394.32,3608.56
860,01-07-2017,394.33,3614.15
861,30-06-2017,394.35,3621.14
862,28-06-2017,394.38,3636.52
865,26-06-2017,394.41,3650.5
868,23-06-2017,394.48,3684.05
869,21-06-2017,394.52,3699.43
870,20-06-2017,394.53,3705.02
871,19-06-2017,394.54,3709.22
873,17-06-2017,394.56,3720.4
874,14-06-2017,394.59,3734.38
875,08-06-2017,394.67,3770.73
876,05-06-2017,394.71,3788.91
877,03-06-2017,394.74,3802.89
878,02-06-2017,394.77,3816.87
879,01-06-2017,394.79,3823.86
880,31-05-2017,394.8,3828.05
881,30-05-2017,394.81,3832.24
882,28-05-2017,394.82,3839.23
883,26-05-2017,394.84,3846.22
884,23-05-2017,394.88,3868.59
885,20-05-2017,394.9,3876.98
886,19-05-2017,394.91,3879.77
887,18-05-2017,394.92,3882.57
888,17-05-2017,394.92,3885.37
889,16-05-2017,394.93,3888.16
890,13-05-2017,394.95,3896.55
891,12-05-2017,394.95,3899.35
892,10-05-2017,394.96,3904.94
893,09-05-2017,394.97,3907.73
894,08-05-2017,394.98,3910.53
895,06-05-2017,394.99,3916.12
896,05-05-2017,394.99,3918.92
897,03-05-2017,395.01,3924.51
898,02-05-2017,395.01,3927.3
899,01-05-2017,395.02,3930.1
900,30-04-2017,395.02,3932.88
901,29-04-2017,395.03,3935.67
902,28-04-2017,395.04,3938.46
903,27-04-2017,395.04,3941.24
904,26-04-2017,395.05,3944.03
905,25-04-2017,395.06,3946.82
906,24-04-2017,395.07,3952.39
907,20-04-2017,395.1,3964.93
908,19-04-2017,395.1,3967.72
909,17-04-2017,395.11,3973.29
910,16-04-2017,395.12,3976.08
911,15-04-2017,395.13,3978.87
912,14-04-2017,395.13,3981.65
913,13-04-2017,395.14,3984.44
914,12-04-2017,395.14,3987.23
915,11-04-2017,395.16,3995.59
916,09-04-2017,395.17,4001.16
917,08-04-2017,395.18,4003.95
918,06-04-2017,395.19,4009.52
919,05-04-2017,395.2,4012.31
920,01-04-2017,395.27,4042.97
921,31-03-2017,395.3,4056.9
922,30-03-2017,395.32,4069.51
923,29-03-2017,395.37,4091.45
924,28-03-2017,395.41,4110.46
927,25-03-2017,395.53,4170.43
928,24-03-2017,395.57,4189.44
929,22-03-2017,395.64,4222.02
930,13-03-2017,395.97,4390.29
931,12-03-2017,396.02,4411.91
932,11-03-2017,396.05,4428.89
933,07-03-2017,396.22,4513.8
934,06-03-2017,396.25,4529.24
935,04-03-2017,396.33,4572.47
936,28-02-2017,396.49,4654.28
937,27-02-2017,396.54,4675.9
938,26-02-2017,396.57,4692.83
939,25-02-2017,396.6,4706.68
940,23-02-2017,396.68,4746.68
941,22-02-2017,396.72,4768.23
942,20-02-2017,396.8,4809.77
943,17-02-2017,396.93,4876.01
944,16-02-2017,396.97,4899.19
945,14-02-2017,397.05,4943.88
946,13-02-2017,397.08,4960.44
947,11-02-2017,397.14,4993.54
948,09-02-2017,397.21,5033.77
949,07-02-2017,397.29,5077.71
950,04-02-2017,397.4,5142.75
951,02-02-2017,397.46,5176.15
952,01-02-2017,397.5,5199
953,30-01-2017,397.56,5234.16
954,29-01-2017,397.59,5249.98
955,28-01-2017,397.63,5272.83
956,26-01-2017,397.68,5304.48
957,24-01-2017,397.76,5348.42
959,21-01-2017,397.87,5413.46
960,20-01-2017,397.91,5434.55
961,19-01-2017,397.95,5457.41
962,18-01-2017,397.98,5478.5
963,17-01-2017,398.02,5496.08
964,16-01-2017,398.05,5517.17
965,15-01-2017,398.09,5538.22
966,14-01-2017,398.12,5559.24
967,13-01-2017,398.16,5580.27
968,11-01-2017,398.23,5622.31
969,09-01-2017,398.3,5662.61
970,07-01-2017,398.37,5703
971,06-01-2017,398.41,5726.35
972,05-01-2017,398.45,5747.91
973,02-01-2017,398.56,5812.59
974,31-12-2016,398.63,5852.12
975,29-12-2016,398.71,5899.11
976,27-12-2016,398.71,5902.76
977,25-12-2016,398.73,5910.05
978,24-12-2016,398.73,5913.69
979,23-12-2016,398.73,5915.51
980,22-12-2016,398.74,5917.34
981,21-12-2016,398.74,5919.16
983,20-12-2016,398.76,5933.74
984,18-12-2016,398.84,5977.47
985,16-12-2016,398.91,6021.21
987,14-12-2016,398.98,6064.94
988,13-12-2016,399.02,6084.95
989,12-12-2016,399.05,6106.79
991,09-12-2016,399.16,6172.3
992,08-12-2016,399.2,6194.14
