S. No.,Observation Date,Water Level (In M),Live Capacity (In M.cum)
1,22-03-2021,394.21,3558.23
2,16-03-2021,394.35,3625.33
3,15-03-2021,394.38,3637.91
4,14-03-2021,394.41,3650.5
5,24-11-2020,399.13,6152.28
6,07-11-2020,399.28,6243.27
7,05-11-2020,399.3,6252.39
9,02-11-2020,399.34,6279.77
11,29-10-2020,399.4,6310.8
13,28-10-2020,399.41,6318.1
14,27-10-2020,399.46,6349.12
15,22-10-2020,399.46,6350.95
16,14-10-2020,399.52,6383.8
17,13-10-2020,399.52,6385.62
18,12-10-2020,399.52,6387.45
19,11-10-2020,399.53,6391.1
20,10-10-2020,399.53,6391.1
21,09-10-2020,399.53,6391.1
22,08-10-2020,399.53,6391.1
23,07-10-2020,399.53,6391.1
24,06-10-2020,399.53,6391.1
25,05-10-2020,399.53,6391.1
26,03-10-2020,399.52,6387.45
27,02-10-2020,399.51,6381.97
28,01-10-2020,399.5,6372.85
29,30-09-2020,399.48,6360.07
30,29-09-2020,399.47,6352.77
32,27-09-2020,399.45,6343.65
33,26-09-2020,399.52,6387.45
34,23-09-2020,398.86,5988.41
36,18-09-2020,398.56,5812.59
38,17-09-2020,398.53,5794.63
42,16-09-2020,398.51,5783.85
44,15-09-2020,398.47,5756.9
45,14-09-2020,398.37,5701.2
46,13-09-2020,398.36,5695.9
47,11-09-2020,398.34,5685.39
48,10-09-2020,398.34,5681.88
49,09-09-2020,398.32,5673.12
50,07-09-2020,398.26,5634.58
51,06-09-2020,398.25,5629.32
52,05-09-2020,398.24,5625.82
54,04-09-2020,398.23,5617.06
55,03-09-2020,398.19,5596.03
56,02-09-2020,398.15,5573.26
57,01-09-2020,398.08,5532.96
59,31-08-2020,398.33,5676.63
60,30-08-2020,398.1,5543.47
62,29-08-2020,397.68,5300.96
63,28-08-2020,397.66,5288.65
64,27-08-2020,397.64,5278.11
65,26-08-2020,397.62,5267.56
66,25-08-2020,397.56,5235.92
67,24-08-2020,397.34,5104.08
68,23-08-2020,396.04,4422.71
70,22-08-2020,395.47,4138.25
72,21-08-2020,395.47,4138.25
73,20-08-2020,395.47,4138.25
75,19-08-2020,395.47,4138.25
76,18-08-2020,395.47,4138.25
77,17-08-2020,395.47,4138.25
78,16-08-2020,395.47,4138.25
79,15-08-2020,395.46,4136.79
80,14-08-2020,395.45,4130.94
81,12-08-2020,395.43,4119.24
82,11-08-2020,395.43,4119.24
83,10-08-2020,395.43,4119.24
84,09-08-2020,395.43,4119.24
85,08-08-2020,395.42,4114.85
86,07-08-2020,395.38,4095.84
87,06-08-2020,395.36,4087.06
88,05-08-2020,395.34,4076.83
89,04-08-2020,395.34,4076.83
90,03-08-2020,395.34,4076.83
92,01-08-2020,395.34,4076.83
93,31-07-2020,395.34,4076.83
94,30-07-2020,395.34,4076.83
95,29-07-2020,395.34,4076.83
96,28-07-2020,395.34,4076.83
97,27-07-2020,395.33,4073.9
98,26-07-2020,395.33,4073.9
99,25-07-2020,395.33,4073.9
100,24-07-2020,395.32,4066.66
101,23-07-2020,395.31,4065.26
103,22-07-2020,395.31,4065.26
105,21-07-2020,395.31,4065.26
107,20-07-2020,395.31,4065.26
108,19-07-2020,395.31,4065.26
109,18-07-2020,395.31,4065.26
110,17-07-2020,395.31,4061.08
112,16-07-2020,395.3,4059.69
113,15-07-2020,395.3,4059.69
114,14-07-2020,395.3,4059.69
115,13-07-2020,395.3,4059.69
116,12-07-2020,395.3,4059.69
117,11-07-2020,395.3,4058.3
118,10-07-2020,395.29,4055.51
119,09-07-2020,395.28,4049.93
120,08-07-2020,395.25,4037.39
121,07-07-2020,395.2,4015.1
122,06-07-2020,395.17,3996.98
123,01-07-2020,395.02,3928.7
124,30-06-2020,395.02,3928.7
125,29-06-2020,395.01,3924.51
126,27-06-2020,394.99,3918.92
127,25-06-2020,394.99,3914.72
128,24-06-2020,394.99,3914.72
129,23-06-2020,394.99,3914.72
130,19-06-2020,394.97,3906.34
