S. No.,Observation Date,Water Level (In M),Live Capacity (In M.cum)
1117,13-04-2015,455.08,69.27
1118,12-04-2015,455.08,69.27
1119,11-04-2015,455.09,69.54
1120,10-04-2015,455.1,69.82
1121,09-04-2015,455.11,70.1
1122,08-04-2015,455.12,70.38
1123,07-04-2015,455.13,70.65
1124,06-04-2015,455.13,70.65
1125,05-04-2015,455.14,70.93
1126,04-04-2015,455.14,70.93
1127,03-04-2015,455.14,70.93
1128,02-04-2015,455.15,71.21
1129,01-04-2015,455.15,71.21
1130,31-03-2015,455.15,71.21
1131,30-03-2015,455.16,71.49
1132,29-03-2015,455.17,71.76
1133,26-03-2015,455.17,71.76
1134,24-03-2015,455.18,72.04
1135,23-03-2015,455.18,72.04
1136,22-03-2015,455.19,72.32
1137,21-03-2015,455.19,72.32
1138,20-03-2015,455.19,72.32
1139,19-03-2015,455.2,72.6
1140,17-03-2015,455.2,72.6
1142,16-03-2015,455.2,72.6
1143,15-03-2015,455.2,72.6
1144,14-03-2015,455.18,72.04
1145,13-03-2015,455.18,72.04
1146,12-03-2015,455.18,72.04
1147,11-03-2015,455.2,72.6
1148,10-03-2015,455.22,73.15
1149,09-03-2015,455.24,73.71
1150,08-03-2015,455.25,73.98
1151,07-03-2015,455.3,75.37
1152,06-03-2015,455.35,76.76
1153,05-03-2015,455.4,78.15
1154,04-03-2015,455.45,79.53
1155,03-03-2015,455.5,80.92
1156,02-03-2015,455.55,82.31
1158,01-03-2015,455.6,83.7
1159,28-02-2015,455.68,85.92
1160,27-02-2015,455.75,87.86
1161,26-02-2015,455.85,90.63
1162,25-02-2015,455.95,93.41
1163,24-02-2015,456.04,96.15
1164,23-02-2015,456.1,98.18
1165,22-02-2015,456.18,100.88
1166,21-02-2015,456.26,103.59
1167,20-02-2015,456.3,104.94
1168,19-02-2015,456.4,108.32
1169,18-02-2015,456.5,111.7
1170,17-02-2015,456.55,113.39
1171,16-02-2015,456.61,115.42
1172,15-02-2015,456.65,116.77
1173,14-02-2015,456.69,118.12
1175,12-02-2015,456.75,120.15
1176,11-02-2015,456.79,121.5
1177,09-02-2015,456.87,124.21
1178,08-02-2015,456.91,125.56
1179,06-02-2015,456.95,126.91
1180,05-02-2015,456.95,126.91
1181,04-02-2015,456.95,126.91
1182,03-02-2015,456.95,126.91
1183,02-02-2015,456.95,126.91
1184,01-02-2015,456.95,126.91
1185,31-01-2015,456.95,126.91
1186,30-01-2015,456.95,126.91
1187,29-01-2015,456.95,126.91
1188,28-01-2015,456.95,126.91
1189,27-01-2015,456.95,126.91
1190,26-01-2015,456.95,126.91
1191,25-01-2015,456.95,126.91
1192,24-01-2015,456.96,127.25
1193,23-01-2015,456.98,127.93
1194,22-01-2015,457,128.61
1195,21-01-2015,457.02,129.41
1196,20-01-2015,457.02,129.41
1197,19-01-2015,457.02,129.41
1198,18-01-2015,457.02,129.41
1199,17-01-2015,457.02,129.41
1200,15-01-2015,457.02,129.41
1201,14-01-2015,457.02,129.41
1202,13-01-2015,457.02,129.41
1203,06-01-2015,457.02,129.41
1204,05-01-2015,457.02,129.41
1208,02-01-2015,457.02,129.41
